Class,ColorCode
Cycloeudesmane sesquiterpenoids,#51d2d1
Cyclofarnesane sesquiterpenoids,#bf211e
Cyclonerane sesquiterpenoids,#84eced
Cyclopiane diterpenoids,#af3007
Cyclopiazonic acid-tpye tetramate alkaloids,#6696f0
Cytochalasan alkaloids,#e79b39
"Cytochalasan alkaloids,Imidazole alkaloids",#467dd3
Cytosporins,#d8a238
"DKXanthenes and derivatives,Simple amide alkaloids",#353a7f
Dactylomelane diterpenoids,#aaa12e
Dammarane and Protostane triterpenoids,#72459c
"Dammarane and Protostane triterpenoids,Fusidane triterpenoids",#9dac45
Daucane sesquiterpenoids,#985fbc
Decalins with 2-pyrones,#74851d
Decalins with side chains,#a188e7
"Decalins with side chains,Monacolins and Monacolin derivatives",#a4880e
"Decalins with side chains,Oblogolides",#868de8
Depsides,#b38211
"Depsides,Fungal DPEs",#1c4585
"Depsides,Griseofulvins",#c17b14
"Depsides,Simple phenolic acids",#409cdb
Depsidones,#f2633a
"Depsidones,Isocoumarins",#1db5c7
Depsipeptides,#c7451b
"Depsipeptides,Linear peptides",#2baad3
"Depsipeptides,Linear peptides,Lipopeptides",#9f2114
"Depsipeptides,Linear peptides,Tripeptides",#58ccae
"Depsipeptides,Lipopeptides",#d3335a
Diacylglycerols,#19aa96
Dialkylresorcinols,#f05351
Dicarboxylic acids,#2b9b77
"Dihydroflavonols,Flavonolignans",#f15a93
Dimeric phloroglucinols,#247a3a
Dipeptides,#cd6ec6
"Dipeptides,Imidazole alkaloids",#617202
"Dipeptides,Indole diketopiperazine alkaloids (L-Trp, L-Pro)",#e89ff0
"Dipeptides,Indole diketopiperazine alkaloids (L-Trp, L-Trp)",#104507
"Dipeptides,Piperidine alkaloids",#f87ab8
"Dipeptides,Pyridine alkaloids,Simple diketopiperazine alkaloids",#40975b
"Dipeptides,Simple amide alkaloids",#c63a7b
"Dipeptides,Simple diketopiperazine alkaloids",#719d47
"Dipeptides,Tripeptides",#72327c
Disaccharides,#d8ee9f
"Disaccharides,Polysaccharides",#3b0f4a
Dolabellane diterpenoids,#c6f6c2
Dolastane diterpenoids,#6c135a
Drimane sesquiterpenoids,#9cd597
"Drimane sesquiterpenoids,Isoindole alkaloids",#943079
"Drimane sesquiterpenoids,Spriromeroterpenoids",#517c28
"Drimane sesquiterpenoids,Spriromeroterpenoids,Tetraketide meroterpenoids",#d46cb5
"Drimane sesquiterpenoids,Tetraketide meroterpenoids",#255719
Duclauxin and derivatives,#da5a9b
Ecdysteroids,#3e7030
"Ecdysteroids,Ergostane steroids",#c47ecd
Elemane sesquiterpenoids,#c4bc59
Elfamycins,#5e3f89
Enediynes,#ecdf91
Epothilones,#220c31
Epoxy fatty acids,#e9cb78
Eremophilane sesquiterpenoids,#0e0d2c
Ergostane steroids,#ecb762
Ergot alkaloids,#232656
Ericamycins,#cdaf54
"Ericamycins,Methyl xanthones",#505099
Erythromycins,#8c8725
"Erythromycins,Open-chain polyketides",#7662b2
"Erythromycins,Tylosins",#97b35e
Eudesmane sesquiterpenoids,#864490
"Eudesmane sesquiterpenoids,Noreudesmane sesquiterpenoids",#72a460
Farnesane sesquiterpenoids,#b01b55
Fasamycins and derivatives,#a0edd0
Fatty acid estolides,#c82e3c
Fatty acyl glycosides of mono- and disaccharides,#61c5e6
Fatty acyl homoserine lactones,#ab440b
Fatty alcohols,#70bdf0
Fatty aldehydes,#d2642c
Fenchane monoterpenoids,#1668a6
Fernane and Arborinane triterpenoids,#e49c4f
Flavanones,#3f81c2
Flavones,#9e5309
Flavonols,#89a2ec
Friedelane triterpenoids,#936f17
Fukinane sesquiterpenoids,#a19ced
Fungal DPEs,#576c1c
"Fungal DPEs,Griseofulvins",#af6ab8
"Fungal DPEs,Simple aromatic polyketides",#588a48
Fungal cyclic polyketides (Miscellaneous),#b04b93
Furanoid lignans,#90b673
Furans,#800a4a
"Furans,RiPPs-Lanthipeptides",#c8f4d6
"Furocoumarins,Simple coumarins",#24031f
Furofuranoid lignans,#dedfa2
Furostane steroids,#190b1f
Fusicoccane diterpenoids,#dbe7c5
Fusidane triterpenoids,#5e0b40
Gallotannins,#b5d08d
Gammacerane triterpenoids,#56306f
Germacrane sesquiterpenoids,#c0bc6e
Gibberellins,#9a57a4
"Gibberellins,Secokaurane diterpenoids",#a98e34
Glucosinolates,#6e75c0
Glutinane triterpenoids,#c79542
Glycerophosphoethanolamines,#6e88d0
Glycerophosphoglycerols,#f08451
Glycerophosphoglycerophosphoglycerols,#1e4f7c
Glycosyldiacylglycerols,#cd4c35
Glycosylglycerophospholipids,#83daf2
Glycosylmonoacylglycerols,#961920
Gorgonane sesquiterpenoids,#a2e7ed
Griseofulvins,#be2647
Guaiane sesquiterpenoids,#3fadaf
Guanacastane diterpenoids,#eb5573
Gymnomitrane sesquiterpenoids,#155126
Halimane diterpenoids,#f7a5e5
Halogenated hydrocarbons,#2f480e
Hamigerane sesquiterpenoids,#ddaef7
Hapalindole alkaloids,#1f2e09
"Hapalindole alkaloids,Simple indole alkaloids",#fcc2fb
Himachalane sesquiterpenoids,#1b3d1f
Hirsutane sesquiterpenoids,#e289cc
Hopane and Moretane triterpenoids,#367042
Humulane sesquiterpenoids,#e272aa
"Humulane sesquiterpenoids,Tetraketide meroterpenoids",#7db986
Hydrocarbons,#8c1f5d
Hydroxy fatty acids,#7fc7a5
Iboga type,#971f3e
Illudalane sesquiterpenoids,#87d5c5
"Illudalane sesquiterpenoids,Illudane sesquiterpenoids",#ad3130
"Illudalane sesquiterpenoids,Illudane sesquiterpenoids,Isolactarane sesquiterpenoids",#b6eee2
"Illudalane sesquiterpenoids,Isolactarane sesquiterpenoids",#751610
"Illudalane sesquiterpenoids,Pyridine alkaloids",#aedbf0
Illudane sesquiterpenoids,#943112
"Illudane sesquiterpenoids,Sterpurane sesquiterpenoids",#72a5e4
Imidazole alkaloids,#c15734
"Imidazole alkaloids,Other indole diketopiperazine alkaloids",#549fcc
"Imidazole alkaloids,Pyridine alkaloids",#c44641
"Imidazole alkaloids,Tripeptides",#5db3a3
"Indole diketopiperazine alkaloids (L-Trp, L-Ala)",#e26159
"Indole diketopiperazine alkaloids (L-Trp, L-Ala),Thiodiketopiperazine alkaloids",#48a3ba
"Indole diketopiperazine alkaloids (L-Trp, L-Pro)",#f57964
"Indole diketopiperazine alkaloids (L-Trp, L-Trp)",#B2B24C
Indole-Diterpenoid alkaloids (Penitrems),#f5c58c
Indolizidine alkaloids,#00B34B
Iridoids monoterpenoids,#eddaac
Irregular monoterpenoids,#7C7C7C
Isariotin alkaloids,#f19d65
Isoaurones,#161616
Isocoumarins,#d4efe9
"Isocoumarins,Open-chain polyketides",#45071b
"Isocoumarins,Polyprenylated cyclic polyketides (Hop meroterpenoids)",#bcdeae
"Isocoumarins,Simple coumarins",#2f1029
"Isocoumarins,Zearalenones",#acd8ba
Isoflavanones,#6c0f22
Isoflavones,#7fc4ca
Isoindole alkaloids,#9a382a
"Isoindole alkaloids,Tetraketide meroterpenoids",#25889f
Isolactarane sesquiterpenoids,#e76870
"Isolactarane sesquiterpenoids,Sterpurane sesquiterpenoids",#226a4d
Isoquinoline alkaloids,#f67ea6
Jasmonic acids,#152818
Kaurane and Phyllocladane diterpenoids,#e6ade5
"Kaurane and Phyllocladane diterpenoids,Podocarpane diterpenoids",#5c5309
Kavalactones and derivatives,#c6c0fe
"Kavalactones and derivatives,Pyrrolidine alkaloids",#753f07
Labdane diterpenoids,#99ade4
Lactam bearing macrolide lactones,#853a16
Lactarane sesquiterpenoids,#84b9d6
Lactones,#5f1b10
"Lactones,Polyene macrolides",#b9c8f1
"Lanostane, Tirucallane and Euphane triterpenoids",#8E8E70
Laurane sesquiterpenoids,#ebe2cf
Linear diarylheptanoids,#2A2AD4
Linear peptides,#f6d4c9
"Linear peptides,Lipopeptides",#FF4CFF
"Linear peptides,Lipopeptides,Microginins",#daa969
"Linear peptides,Microcolins and mirabimids",#1d1d3c
"Linear peptides,Microginins",#c9b579
"Linear peptides,Peptaibols",#2DFFD1
"Linear peptides,Piperidine alkaloids",#f49b7d
"Linear peptides,Simple amide alkaloids",#585858
"Linear peptides,Tantazoles and mirabazoles",#efd5dc
"Linear peptides,Tripeptides",#8DD3C7
Linear polyenes,#edaa83
"Linear polyenes,N-acyl amines",#A1DAC3
Linear tetronates,#e6d6ee
"Linear tetronates,Polyether ionophores",#B5E2BF
Lipopeptides,#db7c4f
"Lipopeptides,Open-chain polyketides",#2c7ea9
Lobane diterpenoids,#b46133
Long-Chain Bicyclic Phosphotriester,#3c6796
Longibornane sesquiterpenoids,#c4824a
Longifolane sesquiterpenoids,#363b6d
Longipinane sesquiterpenoids,#969448
Luminacins and derivatives,#9f77c2
Lupane triterpenoids,#6f6e1d
Macrocyclic tetramic acids,#c093db
Macrolide lactams,#464a15
"Macrolide lactams,Polyene macrolides",#bba8e9
Macrolide lactones,#7d6924
Macrotetrolides,#6165a5
"Macrotetrolides,Open-chain polyketides",#b58949
Malabaricane triterpenoids,#584982
Mangicol-type sesterterpenoids,#86a061
Marasmane sesquiterpenoids,#79306d
Marine-bacterial DPEs,#93b486
Megastigmanes,#af437c
Melithiazole and Myxothiazole derivatives,#399283
Menthane monoterpenoids,#c64e68
"Menthane monoterpenoids,Monocyclic monoterpenoids",#61a288
Merohemiterpenoids,#722251
Meromonoterpenoids,#548c67
"Meromonoterpenoids,Meroterpenoids with 5- or 6-membered ring",#eb7088
"Meromonoterpenoids,Meroterpenoids with bridged ring",#C9EABC
"Meromonoterpenoids,Spriromeroterpenoids",#e7c4ef
Merosesquiterpenoids,#DDF2B8
"Merosesquiterpenoids,Meroterpenoids with bridged ring",#f5b3da
Meroterpenoids with 5- or 6-membered ring,#F2FAB5
Meroterpenoids with bridged ring,#e5bfa6
Methoxy fatty acids,#FAFAB5
Methyl xanthones,#f0b4a4
"Methyl xanthones,Naphthoquinones",#EFEEBC
"Methyl xanthones,Other polyketide meroterpenoids",#f08682
Microcystins,#E3E2C3
Miscellaneous alkaloids,#d6aa7c
"Miscellaneous alkaloids,Miscellaneous polyketides",#D8D5CA
"Miscellaneous alkaloids,Simple amide alkaloids",#f498c1
Miscellaneous apocarotenoids,#CCC9D1
Miscellaneous meroterpenoids,#b8d3cd
Miscellaneous polyketides,#C1BDD8
"Miscellaneous polyketides,Naphthalenones",#efb4c4
Mitomycins,#C5B2CC
Monacolins and Monacolin derivatives,#e99588
Monoacylglycerols,#D0A8BA
Monoalkylresorcinols,#c4cee0
Monocyclic ??-lactams,#DB9DA7
Monocyclic monoterpenoids,#d56b58
Monomeric stilbenes,#E69395
Monosaccharides,#ec8794
Morphinan alkaloids,#F18982
Mulinane diterpenoids,#b5bd94
Mycolic acids,#F98073
Mycosporine and Mycosporine-like amino acids,#ec9da1
N-acyl amines,#E38984
"N-acyl amines,Simple amide alkaloids",#cbbea4
N-acyl ethanolamines (endocannabinoids),#CD9295
Nagilactone diterpenoids,#d48665
Naphthalenes and derivatives,#B79AA7
"Naphthalenes and derivatives,Naphthoquinones",#abc4aa
Naphthalenones,#4a1234
"Naphthalenones,Phthalide derivatives",#80b6aa
Naphthoquinones,#9d323b
Nardosinane sesquiterpenoids,#369094
Neoflavonoids,#b75140
Neohopane triterpenoids,#5da2a8
Neolignans,#bb4c52
"Neolignans,Pulvinones",#2d747a
Neutral glycosphingolipids,#d1648a
Nonadrides,#3a5628
Noreremophilane sesquiterpenoids,#be6da6
Norkaurane diterpenoids,#728444
Norlabdane diterpenoids,#8e4380
"Norlabdane diterpenoids,Secolabdane diterpenoids",#5c6a31
Norpimarane and Norisopimarane diterpenoids,#835a9d
Norsesterterpenoids,#999b61
Oblogolides,#392148
Oleanane triterpenoids,#a89153
Oligomeric phloroglucinols (phlorotannins),#502856
Oligomycins,#7ea78b
Open-chain polyketides,#98345a
"Open-chain polyketides,Parguerane diterpenoids",#6c8c60
"Open-chain polyketides,Piperidine alkaloids",#a25693
"Open-chain polyketides,Polyether ionophores",#4e6c42
"Open-chain polyketides,Simple amide alkaloids",#d37baa
Ophiobolane sesterterpenoids,#A1A3B8
Oppositane sesquiterpenoids,#e788a6
Orthosomycins,#8BACC9
Other Eicosanoids,#e09ec5
Other Octadecanoids,#8AB1C9
Other indole diketopiperazine alkaloids,#d3b7d2
"Other indole diketopiperazine alkaloids,Quinazoline alkaloids",#A0B1B5
Other polyketide meroterpenoids,#d26c69
Oxa-Bridged Macrolides,#B6B2A1
Oxasqualenoids,#d199d0
Oxo fatty acids,#CCB28D
"Oxo fatty acids,Sphingoid bases",#a1c3c9
Oxygenated hydrocarbons,#330f1c
Pachydictyane diterpenoids,#c6a7d7
Panasinsane sesquiterpenoids,#E2B379
Paraconic acids and derivatives,#c2a787
Parguerane diterpenoids,#F8B365
Patchoulane sesquiterpenoids,#d69d95
Paulomycins and derivatives,#F2BA63
Penicillins,#cbb2b9
Pentalenane sesquiterpenoids,#E5C164
Peptaibols,#b98f62
Perforane sesquiterpenoids,#D8C965
Phenalens,#d890a5
Phenanthrenes,#CAD066
Phenazine alkaloids,#ba7c57
Phenoxazine alkaloids,#BDD767
Phenylethanoids,#d17d85
"Phenylethanoids,Simple amide alkaloids",#B5DD6D
Phenylethylamines,#c4a499
Phoslactomycins or Phosphazomycins,#C2DA82
Phosphosphingolipids,#b26145
Phthalide derivatives,#CFD798
"Phthalide derivatives,Pyridine alkaloids",#985c26
Phytane diterpenoids,#6c83b7
Picrotoxane sesquiterpenoids,#7d5719
Pimarane and Isopimarane diterpenoids,#9987c5
Pimprinine alkaloids,#54350b
Piperidine alkaloids,#aba7cf
"Piperidine alkaloids,Pyridine alkaloids",#DCD4AF
Plant xanthones,#c07d6c
Platensimycin and Platencins,#E9D1C5
Podocarpane diterpenoids,#ba8fc2
Polyamines,#544516
"Polyamines,Tripeptides",#ae78ad
Polyene macrolides,#424a27
"Polyene macrolides,Trichothecane sesquiterpenoids",#b44e72
Polyesters,#427e73
Polyether ionophores,#8e3344
Polyprenol derivatives,#699eba
Polyprenylated cyclic polyketides (Hop meroterpenoids),#7f312d
Polysaccharides,#85aab6
Pradimicins,#6c1d3d
Pregnane steroids,#90a599
Prenyl quinone meroterpenoids,#F30B00
"Prenylated,geranylated phloroglucinols",#c498ae
Presilphiperfolane and Probotryane sesquiterpenoids,#F6CEDB
Prezizaane sesquiterpenoids,#9c9974
Primary amides,#F8CEE3
Prodigiosins,#9c7442
Protoilludane sesquiterpenoids,#102c48
Pseudopterane diterpenoids,#a46945
Pulvinones,#F2D0E1
"Pulvinones,p-Terphenyls",#c3758d
Purine alkaloids,#ECD2DF
Purine nucleos(t)ides,#b95968
Pyranocoumarins,#1d5650
Pyrazine and Piperazine alkaloids,#a85582
